generation,average_score,average_distance,max_score,max_distance,min_score,min_distance
7110,285.1365,252.46658,742.35974,668.35974,219.18478,205.12958
7120,306.24237,305.2024,873.09174,705.09174,280.81445,260.81445
7130,240.58871,237.95872,575.99634,423.9963,209.25122,209.25122
7140,252.87813,236.76808,390.6546,316.6546,247.77643,227.77643
7150,298.03873,246.59868,840.751,713.2897,131.09038,131.09038
7160,703.2844,597.2944,867.60925,719.60925,0.0,0.0
7170,369.21555,285.7755,1071.4681,687.13696,128.6509,15.568393
7180,278.13727,257.46725,738.0,644.0,48.348824,48.348824
7190,312.2268,260.86664,600.4177,418.41772,172.53465,68.47015
7200,546.0811,392.60114,633.43164,427.4316,188.43416,168.43416
7210,339.15915,278.2393,786.215,712.215,278.04413,59.60377
7220,362.21146,270.99164,1316.2313,894.2313,78.78282,0.7828207
7230,195.137,139.25693,1045.0,731.0,75.68333,6.6865206
7240,117.939095,102.46902,810.8841,702.8841,46.112507,46.112507
7250,324.35556,264.6355,724.893,379.83652,98.4039,44.4039
7260,273.55383,271.09384,436.80307,376.88406,237.64072,31.640724
7270,340.99866,292.52884,1068.4395,808.43945,60.841377,40.841377
7280,233.25128,115.01125,441.2239,387.2239,59.5831,47.44534
7290,306.6384,235.72833,747.16455,405.11047,82.36357,8.36357
7300,278.71176,232.21187,928.8522,688.66473,72.10172,72.10172
7310,239.41956,239.21954,289.08524,277.7083,73.00514,53.005146
7320,307.1675,251.22739,428.6236,302.63895,83.45102,83.45102
7330,272.10947,272.00946,314.59048,314.59048,103.60453,83.60453
7340,331.57407,240.62428,557.6706,318.0211,304.36746,185.08344
7350,373.55618,267.17615,779.9601,701.9601,36.374584,36.374584
7360,368.37537,274.1754,407.49295,279.49295,113.53282,113.53282
7370,206.0217,205.2517,384.5859,321.70984,133.73431,133.73431
7380,104.74752,90.31753,357.15143,252.41507,35.568394,15.568393
7390,336.81168,296.20175,732.5853,712.5853,263.7987,66.22441
7400,384.14847,259.61804,926.13824,717.3048,107.264626,32.78043
7410,206.9859,123.186966,1388.7632,696.76324,77.7,47.12302
7420,454.01288,307.43344,604.26904,402.26904,6.6865206,6.6865206
7430,272.17404,270.79404,799.09875,691.09875,246.36467,246.36467
7440,257.05994,255.84995,401.04498,311.57343,90.875244,90.875244
7450,98.303024,98.203026,665.05585,665.05585,15.568393,15.568393
7460,305.52295,288.753,1099.6149,711.61487,285.3684,265.3684
7470,413.01382,354.1936,825.4184,713.4184,89.724846,89.724846
