generation,average_score,average_distance,max_score,max_distance,min_score,min_distance
810,1046.7577,954.11755,3254.3215,2762.3215,257.3,256.80643
820,873.06885,780.42865,3254.3215,2762.3215,326.3181,306.3181
830,539.6279,510.02777,3254.3215,2762.3215,284.75433,284.75433
840,1018.5366,936.0167,3254.3215,2762.3215,313.28748,313.28748
850,1652.1506,1472.4319,3254.3215,2762.3215,269.03848,269.03848
860,533.5285,512.5585,3254.3215,2762.3215,291.6621,291.6621
870,534.3358,506.62573,3254.3215,2762.3215,299.34882,299.34882
880,534.46045,516.3504,3254.3215,2762.3215,268.1172,268.1172
890,430.0531,414.22308,3254.3215,2762.3215,266.14124,266.14124
900,1064.4248,1006.2648,3254.3215,2762.3215,330.23322,310.23322
910,746.5751,703.845,3254.3215,2762.3215,299.34882,299.34882
920,1401.937,1188.1871,3254.3215,2762.3215,292.0383,292.0383
930,1018.02563,916.37573,3254.3215,2762.3215,248.45583,248.45583
940,1350.1987,1269.6989,3254.3215,2762.3215,284.75436,284.75436
950,897.04865,827.4691,3254.3215,2762.3215,313.28748,313.28748
960,451.3871,435.55707,3254.3215,2762.3215,318.94608,318.94608
970,1182.8098,1112.79,3254.3215,2762.3215,693.7406,693.7406
980,1044.0157,946.53577,3254.3215,2762.3215,289.79782,289.79782
990,443.0808,426.88083,3254.3215,2762.3215,278.46838,278.46838
1000,441.29153,424.5515,3254.3215,2762.3215,298.87943,298.87943
1010,861.8486,803.0785,3254.3215,2762.3215,301.88922,281.88922
1020,606.79193,576.92194,3254.3215,2762.3215,293.11057,293.11057
1030,452.05237,423.22238,3254.3215,2762.3215,298.1488,298.1488
1040,1270.8608,1120.1012,3254.3215,2762.3215,293.86575,293.86575
1050,979.4125,900.4025,3254.3215,2762.3215,318.94608,318.94608
1060,848.9932,794.62335,3254.3215,2762.3215,328.16403,308.16403
1070,1276.6809,1123.9608,3254.3215,2762.3215,307.23044,307.23044
1080,870.64575,817.3459,3254.3215,2762.3215,733.0799,712.36365
1090,620.8768,577.13684,3254.3215,2762.3215,300.99384,300.99384
1100,446.16574,429.77576,3254.3215,2762.3215,299.34882,299.34882
1110,839.97186,800.72205,3254.3215,2762.3215,292.1054,288.71204
1120,696.40094,650.2309,3254.3215,2762.3215,291.84137,291.84137
1130,557.4864,528.2565,3254.3215,2762.3215,314.5877,294.5877
1140,1200.9692,1145.7692,3254.3215,2762.3215,323.38376,303.38376
1150,853.9288,795.99866,3254.3215,2762.3215,315.18472,295.18472
1160,1044.2405,978.65045,3254.3215,2762.3215,291.84137,291.84137
1170,966.2433,919.9932,3254.3215,2762.3215,702.95917,702.95917
1180,410.79565,388.64563,3254.3215,2762.3215,251.91603,251.91603
1190,472.3212,442.22122,3254.3215,2762.3215,307.00223,307.00223
1200,733.3889,669.8389,3254.3215,2762.3215,246.36467,246.36467
1210,636.50024,587.7905,3254.3215,2762.3215,295.59546,295.59546
1220,1127.9663,1064.0563,3254.3215,2762.3215,313.60147,312.75882
1230,429.4583,413.7083,3254.3215,2762.3215,293.8574,293.8574
1240,806.84094,777.35095,3254.3215,2762.3215,256.0914,256.0914
1250,1232.5562,1114.1362,3254.3215,2762.3215,282.78024,282.78024
1260,1244.2576,1123.0674,3254.3215,2762.3215,280.80975,280.80975
1270,955.44604,901.9963,3254.3215,2762.3215,308.65625,308.65625
1280,1279.9727,1153.543,3254.3215,2762.3215,211.74963,211.74963
1290,444.47906,430.29907,3254.3215,2762.3215,293.52917,293.52917
1300,443.84775,429.39774,3254.3215,2762.3215,299.34882,299.34882
1310,444.58478,430.13477,3254.3215,2762.3215,276.40173,276.40173
1320,423.69675,397.55676,5924.0,3168.0,252.2,252.2
1330,540.909,513.68896,5924.0,3168.0,251.85214,251.85214
1340,895.5421,843.21204,5924.0,3168.0,239.21596,239.21596
1350,906.2795,794.64966,5924.0,3168.0,298.1488,298.1488
1360,754.8257,688.9457,5924.0,3168.0,273.25092,273.25092
1370,470.19406,431.52402,5924.0,3168.0,307.86545,307.12708
1380,435.94864,410.07864,5924.0,3168.0,281.88922,281.88922
1390,625.2346,572.8545,5924.0,3168.0,307.9059,307.9059
1400,593.8556,552.7356,5924.0,3168.0,313.11057,293.11057
1410,1567.3895,1454.7501,5924.0,3168.0,305.95746,305.95746
1420,1088.8396,977.2092,5924.0,3168.0,311.223,311.223
1430,896.3029,832.26276,5924.0,3168.0,313.36133,313.36133
1440,984.85175,945.21173,5924.0,3168.0,709.94415,709.94415
1450,1212.7388,1120.1788,5924.0,3168.0,705.33563,705.33563
1460,1060.2783,947.9084,5924.0,3168.0,229.52145,229.52145
1470,454.56863,427.85864,5924.0,3168.0,278.13974,276.40173
1480,736.0176,696.0376,5924.0,3168.0,284.75436,284.75436
1490,691.6958,665.0158,5924.0,3168.0,238.46048,238.46048
1500,931.9194,890.9293,5924.0,3168.0,306.41913,306.41913
1510,471.75452,443.89453,5924.0,3168.0,288.4189,288.4189
1520,460.86932,415.72925,5924.0,3168.0,300.58087,280.58087
1530,1346.9792,1132.0189,5924.0,3168.0,301.59738,301.59738
1540,466.60837,440.36835,5924.0,3168.0,291.84137,291.84137
1550,908.79834,776.5181,5924.0,3168.0,281.88922,281.88922
1560,789.1232,723.2333,5924.0,3168.0,283.78046,283.78046
1570,457.39996,431.52997,5924.0,3168.0,293.67966,293.67966
1580,872.61444,788.71454,5924.0,3168.0,306.41913,306.41913
1590,561.34973,520.3598,5924.0,3168.0,278.9215,278.9215
1600,451.0691,425.1991,5924.0,3168.0,299.34882,299.34882
1610,821.91437,790.3744,5924.0,3168.0,299.34882,287.97305
1620,969.49164,892.932,5924.0,3168.0,312.5797,312.5797
1630,1225.1396,1165.7896,5924.0,3168.0,284.67197,284.67197
1640,1451.6819,1360.052,5924.0,3168.0,713.4184,711.1506
1650,607.47894,563.9589,5924.0,3168.0,318.94608,318.94608
1660,704.23486,651.26483,5924.0,3168.0,298.1488,298.1488
1670,993.1584,884.2379,5924.0,3168.0,257.68652,257.68652
1680,483.81937,439.65936,5980.0,3168.0,261.751,261.751
1690,746.6012,708.49115,5980.0,3168.0,311.61328,311.61328
1700,856.1757,750.2358,5980.0,3168.0,296.94882,296.94882
1710,676.0744,606.96436,5980.0,3168.0,284.75436,284.75436
1720,880.4699,808.87964,5980.0,3168.0,296.03418,276.03418
1730,457.5704,419.1904,5980.0,3168.0,272.05588,272.05588
1740,878.6207,803.2509,5980.0,3168.0,286.80692,286.80692
1750,1458.9418,1274.5417,5980.0,3168.0,274.2514,274.2514
1760,1021.4363,982.04626,5980.0,3168.0,307.23044,307.23044
1770,449.9824,411.6024,5980.0,3168.0,278.34222,278.34222
1780,946.67377,894.9639,5980.0,3168.0,297.6859,297.6859
1790,691.6283,621.7984,5980.0,3168.0,272.05588,272.05588
1800,1236.8835,1117.9335,5980.0,3168.0,248.13664,248.13664
